Type,Problem size,Time
serial,1,0.000042000
serial,1,0.000040000
serial,1,0.000037000
serial,1,0.000037000
serial,1,0.000040000
parallel,1,0.091116000
parallel,1,0.094373000
parallel,1,0.099767000
parallel,1,0.097942000
parallel,1,0.096050000
serial,10,0.000043000
serial,10,0.000035000
serial,10,0.000035000
serial,10,0.000033000
serial,10,0.000034000
parallel,10,0.097227000
parallel,10,0.097192000
parallel,10,0.099070000
parallel,10,0.096896000
parallel,10,0.097873000
serial,100,0.000044000
serial,100,0.000044000
serial,100,0.000042000
serial,100,0.000038000
serial,100,0.000038000
parallel,100,0.098735000
parallel,100,0.095343000
parallel,100,0.094478000
parallel,100,0.100042000
parallel,100,0.100846000
serial,1000,0.000066000
serial,1000,0.000060000
serial,1000,0.000061000
serial,1000,0.000065000
serial,1000,0.000058000
parallel,1000,0.095974000
parallel,1000,0.093271000
parallel,1000,0.096601000
parallel,1000,0.093692000
parallel,1000,0.107974000
serial,10000,0.000291000
serial,10000,0.000297000
serial,10000,0.000282000
serial,10000,0.000283000
serial,10000,0.000283000
parallel,10000,0.097132000
parallel,10000,0.097720000
parallel,10000,0.103914000
parallel,10000,0.097514000
parallel,10000,0.102690000
serial,100000,0.002534000
serial,100000,0.002536000
serial,100000,0.002530000
serial,100000,0.002533000
serial,100000,0.002509000
parallel,100000,0.089364000
parallel,100000,0.092467000
parallel,100000,0.100577000
parallel,100000,0.098267000
parallel,100000,0.096387000
serial,1000000,0.025135000
serial,1000000,0.024850000
serial,1000000,0.024966000
serial,1000000,0.024901000
serial,1000000,0.024874000
parallel,1000000,0.100164000
parallel,1000000,0.100733000
parallel,1000000,0.094616000
parallel,1000000,0.097661000
parallel,1000000,0.093346000
serial,10000000,0.248418000
serial,10000000,0.248409000
serial,10000000,0.248547000
serial,10000000,0.248515000
serial,10000000,0.248704000
parallel,10000000,0.104345000
parallel,10000000,0.100186000
parallel,10000000,0.101310000
parallel,10000000,0.106789000
parallel,10000000,0.105643000
serial,100000000,2.488403000
serial,100000000,2.481253000
serial,100000000,2.483997000
serial,100000000,2.483220000
serial,100000000,2.480976000
parallel,100000000,0.151350000
parallel,100000000,0.154138000
parallel,100000000,0.155827000
parallel,100000000,0.146486000
parallel,100000000,0.158488000
serial,1000000000,24.870471000
serial,1000000000,24.831328000
serial,1000000000,24.855304000
serial,1000000000,24.850705000
serial,1000000000,24.842612000
parallel,1000000000,0.568724000
parallel,1000000000,0.573494000
parallel,1000000000,0.574321000
parallel,1000000000,0.574403000
parallel,1000000000,0.573179000
