Impl/Ranks,Problem Size,Time_mean,Time_std
par_complex/12,768,0.58,0.03
par_complex/12,1536,1.32,0.01
par_complex/12,3072,3.46,0.01
par_complex/12,6144,10.38,0.02
par_complex/2,768,0.8,0.0
par_complex/2,1536,2.82,0.02
par_complex/2,3072,10.83,0.29
par_complex/2,6144,42.78,2.08
par_complex/24,768,1.48,0.01
par_complex/24,1536,2.93,0.02
par_complex/24,3072,6.02,0.02
par_complex/24,6144,12.82,0.04
par_complex/48,6144,12.18,0.02
par_complex/48,3072,5.86,0.03
par_complex/48,768,1.49,0.0
par_complex/48,1536,2.93,0.02
par_complex/6,768,0.66,0.0
par_complex/6,1536,1.75,0.04
par_complex/6,3072,5.17,0.02
par_complex/6,6144,17.28,0.03
par_complex/96,768,1.55,0.02
par_complex/96,1536,2.98,0.01
par_complex/96,3072,5.94,0.03
par_complex/96,6144,11.93,0.08
par_simple/12,6144,9.34,0.05
par_simple/12,3072,2.95,0.03
par_simple/12,1536,1.07,0.01
par_simple/12,768,0.44,0.01
par_simple/2,768,0.75,0.0
par_simple/2,1536,2.74,0.01
par_simple/2,3072,10.79,0.49
par_simple/2,6144,41.47,0.05
par_simple/24,768,0.82,0.01
par_simple/24,1536,1.61,0.01
par_simple/24,3072,3.44,0.02
par_simple/24,6144,7.64,0.03
par_simple/48,3072,3.31,0.02
par_simple/48,6144,7.22,0.05
par_simple/48,768,0.85,0.01
par_simple/48,1536,1.63,0.01
par_simple/6,768,0.53,0.0
par_simple/6,1536,1.46,0.01
par_simple/6,3072,4.62,0.01
par_simple/6,6144,16.19,0.04
par_simple/96,768,0.83,0.01
par_simple/96,1536,1.6,0.03
par_simple/96,3072,3.14,0.02
par_simple/96,6144,6.5,0.02
seq/1,3072,9.65,0.02
seq/1,768,0.56,0.0
seq/1,1536,2.38,0.01
seq/1,6144,38.47,0.1
