Impl/Ranks,Problem Size,Time
seq/1,192,2.756112000
par_block/2,192,2.497447000
par_block/6,192,0.897570000
par_block/12,192,0.550449000
par_block/24,192,0.438499000
par_block/48,192,0.388362000
par_block/96,192,0.393156000
seq/1,384,22.141703000
par_block/2,384,19.917813000
par_block/6,384,6.885055000
par_block/12,384,3.578857000
par_block/24,384,2.011880000
par_block/48,384,1.160977000
par_block/96,384,1.328650000
seq/1,768,175.376886000
par_block/2,768,157.826130000
par_block/6,768,54.419945000
par_block/12,768,28.021399000
par_block/24,768,14.678584000
par_block/48,768,7.851924000
par_block/96,768,4.855660000
seq/1,192,2.839201000
par_block/2,192,2.596039000
par_block/6,192,0.900530000
par_block/12,192,0.559464000
par_block/24,192,0.441681000
par_block/48,192,0.399279000
par_block/96,192,0.385497000
seq/1,384,21.968326000
par_block/2,384,19.837119000
par_block/6,384,6.920785000
par_block/12,384,3.547428000
par_block/24,384,1.990285000
par_block/48,384,1.177549000
par_block/96,384,1.316575000
seq/1,768,175.573972000
par_block/2,768,159.234183000
par_block/6,768,54.232174000
par_block/12,768,28.800930000
par_block/24,768,14.312703000
par_block/48,768,7.348870000
par_block/96,768,4.733587000
seq/1,192,2.849060000
par_block/2,192,2.529346000
par_block/6,192,0.896840000
par_block/12,192,0.538825000
par_block/24,192,0.461220000
par_block/48,192,0.397052000
par_block/96,192,0.407849000
seq/1,384,22.311002000
par_block/2,384,19.805858000
par_block/6,384,6.966292000
par_block/12,384,3.763241000
par_block/24,384,2.025968000
par_block/48,384,1.170149000
par_block/96,384,1.343560000
seq/1,768,176.955631000
par_block/2,768,157.460224000
par_block/6,768,54.777412000
par_block/12,768,27.852134000
par_block/24,768,14.471657000
par_block/48,768,7.846072000
par_block/96,768,4.857268000
seq/1,192,2.837058000
par_block/2,192,2.509584000
par_block/6,192,0.963135000
par_block/12,192,0.542080000
par_block/24,192,0.447272000
par_block/48,192,0.403543000
par_block/96,192,0.382516000
seq/1,384,21.966278000
par_block/2,384,20.071031000
par_block/6,384,6.913584000
par_block/12,384,3.561288000
par_block/24,384,1.982819000
par_block/48,384,1.205630000
par_block/96,384,1.330122000
seq/1,768,177.346187000
par_block/2,768,159.408282000
par_block/6,768,54.618050000
par_block/12,768,27.703428000
par_block/24,768,14.618985000
par_block/48,768,7.780629000
par_block/96,768,4.834139000
seq/1,192,2.766860000
par_block/2,192,2.560897000
par_block/6,192,0.897568000
par_block/12,192,0.544052000
par_block/24,192,0.439110000
par_block/48,192,0.388445000
par_block/96,192,0.372665000
seq/1,384,22.296084000
par_block/2,384,20.118803000
par_block/6,384,6.883346000
par_block/12,384,3.608901000
par_block/24,384,2.037152000
par_block/48,384,1.199250000
par_block/96,384,1.337892000
seq/1,768,174.908082000
par_block/2,768,158.238093000
par_block/6,768,55.039388000
par_block/12,768,27.853656000
par_block/24,768,14.309990000
par_block/48,768,7.317350000
par_block/96,768,5.811728000
