Impl/Ranks,Problem Size,Repetitions,Time_mean,Time_std,Speedup,Efficiency
seq/1,192,5,2.81,0.04,1.0,1.0
par_block/2,192,5,2.54,0.04,1.11,0.55
par_block/6,192,5,0.91,0.03,3.08,0.51
par_block/12,192,5,0.55,0.01,5.14,0.43
par_block/24,192,5,0.45,0.01,6.31,0.26
par_block/48,192,5,0.4,0.01,7.11,0.15
par_block/96,192,5,0.39,0.01,7.24,0.08
seq/1,384,5,22.14,0.17,1.0,1.0
par_block/2,384,5,19.95,0.14,1.11,0.55
par_block/6,384,5,6.91,0.03,3.2,0.53
par_block/12,384,5,3.61,0.09,6.13,0.51
par_block/24,384,5,2.01,0.02,11.02,0.46
par_block/48,384,5,1.18,0.02,18.72,0.39
par_block/96,384,5,1.33,0.01,16.63,0.17
seq/1,768,5,176.03,1.06,1.0,1.0
par_block/2,768,5,158.43,0.86,1.11,0.56
par_block/6,768,5,54.62,0.31,3.22,0.54
par_block/12,768,5,28.05,0.44,6.28,0.52
par_block/24,768,5,14.48,0.17,12.16,0.51
par_block/48,768,5,7.63,0.27,23.07,0.48
par_block/96,768,5,5.02,0.45,35.08,0.37
