Impl/Ranks,Problem Size,Repetitions,Time_mean,Time_std,Calc_sec_mean,Calc_sec_std,Speedup,Efficiency
seq/1,192,3,2.86,0.04,248333652.38,3662157.32,1.0,1.0
par_block/2,192,3,2.46,0.01,293942999.48,1371857.25,1.17,0.58
par_block/6,192,3,0.89,0.0,841201015.15,2328857.52,3.22,0.54
par_block/12,192,3,0.55,0.01,1419071369.91,21614402.74,5.19,0.43
par_block/24,192,3,0.47,0.01,1738123827.2,35230764.11,6.03,0.25
par_block/48,192,3,0.42,0.01,1985943551.17,22948699.45,6.81,0.14
par_block/96,192,3,0.55,0.22,1527731306.58,531133740.77,5.19,0.05
seq/1,384,3,22.78,0.09,249001837.46,932457.39,1.0,1.0
par_block/2,384,3,19.15,0.32,296944658.32,4972853.73,1.19,0.59
par_block/6,384,3,6.74,0.02,849207947.91,2370739.15,3.38,0.56
par_block/12,384,3,3.47,0.02,1662594421.14,8910388.64,6.55,0.55
par_block/24,384,3,2.0,0.02,2953277065.23,33085201.45,11.4,0.47
par_block/48,384,3,1.26,0.07,4801599773.69,304309574.0,18.09,0.38
par_block/96,384,3,1.42,0.03,4291237226.05,94371386.85,16.0,0.17
seq/1,768,3,182.75,0.77,247992556.25,1041940.81,1.0,1.0
par_block/2,768,3,152.09,1.12,298174339.15,2233442.64,1.2,0.6
par_block/6,768,3,52.56,0.46,864103195.94,7674915.29,3.48,0.58
par_block/12,768,3,27.47,0.88,1658642516.1,52598164.28,6.65,0.55
par_block/24,768,3,13.98,0.02,3272720422.54,4931940.35,13.08,0.54
par_block/48,768,3,7.15,0.01,6435977580.02,11481317.53,25.56,0.53
par_block/96,768,3,4.97,0.3,9617204034.0,483112184.23,36.76,0.38
