Impl/Ranks,Problem Size,Time
seq/1,768,0.556842000
par_b/2,768,0.795149000
par_nb/2,768,0.663874000
par_b/6,768,0.663745000
par_nb/6,768,0.458621000
par_b/12,768,0.555227000
par_nb/12,768,0.382641000
par_b/24,768,1.480050000
par_nb/24,768,0.795551000
par_b/48,768,1.514136000
par_nb/48,768,0.837905000
par_b/96,768,1.528874000
par_nb/96,768,0.820010000
seq/1,1536,2.359862000
par_b/2,1536,2.818365000
par_nb/2,1536,2.377423000
par_b/6,1536,1.722099000
par_nb/6,1536,1.268512000
par_b/12,1536,1.324234000
par_nb/12,1536,0.914027000
par_b/24,1536,2.910649000
par_nb/24,1536,1.511945000
par_b/48,1536,2.933790000
par_nb/48,1536,1.549707000
par_b/96,1536,3.021463000
par_nb/96,1536,1.546604000
seq/1,3072,9.610618000
par_b/2,3072,10.813845000
par_nb/2,3072,9.050788000
par_b/6,3072,5.197438000
par_nb/6,3072,3.967244000
par_b/12,3072,3.476155000
par_nb/12,3072,2.528196000
par_b/24,3072,6.023031000
par_nb/24,3072,2.943052000
par_b/48,3072,5.885847000
par_nb/48,3072,3.038143000
par_b/96,3072,5.857249000
par_nb/96,3072,3.031947000
seq/1,6144,38.342836000
par_b/2,6144,41.810140000
par_nb/2,6144,35.710342000
par_b/6,6144,17.272696000
par_nb/6,6144,13.786349000
par_b/12,6144,10.431670000
par_nb/12,6144,7.990345000
par_b/24,6144,12.923099000
par_nb/24,6144,5.803454000
par_b/48,6144,12.224301000
par_nb/48,6144,6.060592000
par_b/96,6144,11.983972000
par_nb/96,6144,5.903102000
seq/1,768,0.560615000
par_b/2,768,0.793011000
par_nb/2,768,0.659496000
par_b/6,768,0.670790000
par_nb/6,768,0.463192000
par_b/12,768,0.576859000
par_nb/12,768,0.409267000
par_b/24,768,1.477414000
par_nb/24,768,0.798287000
par_b/48,768,1.514101000
par_nb/48,768,0.845121000
par_b/96,768,1.526890000
par_nb/96,768,0.831743000
seq/1,1536,2.366315000
par_b/2,1536,2.792218000
par_nb/2,1536,2.360318000
par_b/6,1536,1.728455000
par_nb/6,1536,1.260646000
par_b/12,1536,1.325707000
par_nb/12,1536,0.908566000
par_b/24,1536,2.917803000
par_nb/24,1536,1.501472000
par_b/48,1536,2.924582000
par_nb/48,1536,1.555337000
par_b/96,1536,2.974612000
par_nb/96,1536,1.533570000
seq/1,3072,9.675522000
par_b/2,3072,10.675849000
par_nb/2,3072,9.050036000
par_b/6,3072,5.160833000
par_nb/6,3072,3.958710000
par_b/12,3072,3.441091000
par_nb/12,3072,2.580288000
par_b/24,3072,6.042672000
par_nb/24,3072,2.949726000
par_b/48,3072,5.846481000
par_nb/48,3072,3.008037000
par_b/96,3072,5.869790000
par_nb/96,3072,3.015575000
seq/1,6144,38.479353000
par_b/2,6144,41.824519000
par_nb/2,6144,35.276403000
par_b/6,6144,17.247250000
par_nb/6,6144,13.816819000
par_b/12,6144,10.386949000
par_nb/12,6144,7.958770000
par_b/24,6144,12.783640000
par_nb/24,6144,5.705511000
par_b/48,6144,12.174589000
par_nb/48,6144,5.936450000
par_b/96,6144,11.899250000
par_nb/96,6144,6.042501000
seq/1,768,0.556953000
par_b/2,768,0.795518000
par_nb/2,768,0.656642000
par_b/6,768,0.674620000
par_nb/6,768,0.463331000
par_b/12,768,0.566397000
par_nb/12,768,0.380942000
par_b/24,768,1.478672000
par_nb/24,768,0.791465000
par_b/48,768,1.486986000
par_nb/48,768,0.829922000
par_b/96,768,1.563694000
par_nb/96,768,0.834008000
seq/1,1536,2.374736000
par_b/2,1536,2.797942000
par_nb/2,1536,2.355863000
par_b/6,1536,1.727185000
par_nb/6,1536,1.264969000
par_b/12,1536,1.330392000
par_nb/12,1536,0.916552000
par_b/24,1536,2.905949000
par_nb/24,1536,1.491975000
par_b/48,1536,2.920376000
par_nb/48,1536,1.580438000
par_b/96,1536,2.999049000
par_nb/96,1536,1.541134000
seq/1,3072,9.636862000
par_b/2,3072,10.719006000
par_nb/2,3072,8.977021000
par_b/6,3072,5.169569000
par_nb/6,3072,3.970822000
par_b/12,3072,3.597905000
par_nb/12,3072,2.923721000
par_b/24,3072,6.034911000
par_nb/24,3072,2.927256000
