Impl/Ranks,Problem Size,Repetitions,Time_mean,Time_std,Speedup,Efficiency
seq/1,192,5,2.77,0.04,1.0,1.0
par_b/2,192,5,2.5,0.01,1.11,0.55
par_nb/2,192,5,2.24,0.01,1.24,0.62
par_b/6,192,5,0.91,0.01,3.06,0.51
par_nb/6,192,5,0.87,0.02,3.19,0.53
par_b/12,192,5,0.58,0.03,4.82,0.4
par_nb/12,192,5,0.51,0.01,5.45,0.45
par_b/24,192,5,0.45,0.01,6.17,0.26
par_nb/24,192,4,0.38,0.01,7.34,0.31
par_b/48,192,5,0.39,0.01,7.04,0.15
par_nb/48,192,4,0.29,0.01,9.43,0.2
par_b/96,192,4,0.48,0.2,5.77,0.06
par_nb/96,192,5,0.63,0.01,4.43,0.05
seq/1,384,5,22.06,0.14,1.0,1.0
par_b/2,384,5,19.78,0.18,1.12,0.56
par_nb/2,384,5,17.69,0.07,1.25,0.62
par_b/6,384,5,6.95,0.1,3.17,0.53
par_nb/6,384,5,6.21,0.1,3.55,0.59
par_b/12,384,5,3.63,0.16,6.07,0.51
par_nb/12,384,5,3.33,0.06,6.62,0.55
par_b/24,384,5,2.03,0.03,10.88,0.45
par_nb/24,384,5,1.81,0.03,12.16,0.51
par_b/48,384,5,1.39,0.18,15.85,0.33
par_nb/48,384,5,1.1,0.05,20.08,0.42
par_b/96,384,4,1.38,0.04,16.04,0.17
par_nb/96,384,5,1.14,0.18,19.36,0.2
seq/1,768,5,175.29,0.56,1.0,1.0
par_b/2,768,5,158.23,0.49,1.11,0.55
par_nb/2,768,5,140.2,0.61,1.25,0.63
par_b/6,768,5,54.16,0.05,3.24,0.54
par_nb/6,768,5,48.19,0.25,3.64,0.61
par_b/12,768,5,27.95,0.33,6.27,0.52
par_nb/12,768,5,24.74,0.21,7.09,0.59
par_b/24,768,5,14.65,0.41,11.97,0.5
par_nb/24,768,4,13.15,0.82,13.33,0.56
par_b/48,768,5,7.67,0.52,22.84,0.48
par_nb/48,768,5,7.43,0.48,23.59,0.49
par_b/96,768,4,5.59,0.74,31.34,0.33
par_nb/96,768,5,4.4,0.25,39.86,0.42
