Impl/Ranks,Problem Size,Time
seq/1,192,2.757625
seq_modaccess/1,192,2.594626
par_block/2,192,2.406255
par_block/6,192,0.90802
par_block/12,192,0.537846
par_block/24,192,0.430559
par_block/48,192,0.376432
par_block/96,192,0.347744
par_block_slice/2,192,2.624712
par_block_slice/6,192,1.003122
par_block_slice/12,192,0.592158
par_block_slice/24,192,0.412903
par_block_slice/48,192,0.345562
par_block_slice/96,192,0.28646
par_block_slice_modaccess/2,192,2.504611
par_block_slice_modaccess/6,192,0.954315
par_block_slice_modaccess/12,192,0.542637
par_block_slice_modaccess/24,192,0.439154
par_block_slice_modaccess/48,192,0.333203
par_block_slice_modaccess/96,192,0.291522
seq/1,384,22.132118
seq_modaccess/1,384,20.512724
par_block/2,384,19.289595
par_block/6,384,6.639945
par_block/12,384,3.479915
par_block/24,384,1.954328
par_block/48,384,1.176955
par_block/96,384,1.324074
par_block_slice/2,384,20.986315
par_block_slice/6,384,7.347702
par_block_slice/12,384,3.810006
par_block_slice/24,384,2.039205
par_block_slice/48,384,1.181823
par_block_slice/96,384,1.189336
par_block_slice_modaccess/2,384,20.009108
par_block_slice_modaccess/6,384,7.039009
par_block_slice_modaccess/12,384,3.66181
par_block_slice_modaccess/24,384,1.963028
par_block_slice_modaccess/48,384,1.437136
par_block_slice_modaccess/96,384,1.183135
seq/1,768,176.145303
seq_modaccess/1,768,164.463386
par_block/2,768,153.402292
par_block/6,768,52.73879
par_block/12,768,27.838661
par_block/24,768,13.888346
par_block/48,768,7.604439
par_block/96,768,4.997133
par_block_slice/2,768,165.772412
par_block_slice/6,768,57.910245
par_block_slice/12,768,29.303984
par_block_slice/24,768,16.420189
par_block_slice/48,768,8.638492
par_block_slice/96,768,5.416927
par_block_slice_modaccess/2,768,159.404774
par_block_slice_modaccess/6,768,55.287731
par_block_slice_modaccess/12,768,28.979059
par_block_slice_modaccess/24,768,14.238441
par_block_slice_modaccess/48,768,7.5002
par_block_slice_modaccess/96,768,4.6804
seq/1,192,2.840311
seq_modaccess/1,192,2.594356
par_block/2,192,2.404027
par_block/6,192,0.889674
par_block/12,192,0.526869
par_block/24,192,0.429782
par_block/48,192,0.380619
par_block/96,192,0.74331
par_block_slice/2,192,2.651494
par_block_slice/6,192,1.002949
par_block_slice/12,192,0.7095
par_block_slice/24,192,0.402464
par_block_slice/48,192,0.336448
par_block_slice/96,192,0.295657
par_block_slice_modaccess/2,192,2.542799
par_block_slice_modaccess/6,192,0.953586
par_block_slice_modaccess/12,192,0.576252
par_block_slice_modaccess/24,192,0.394723
par_block_slice_modaccess/48,192,0.327844
par_block_slice_modaccess/96,192,0.291796
seq/1,384,22.426557
seq_modaccess/1,384,20.689273
par_block/2,384,19.168655
par_block/6,384,6.643787
par_block/12,384,3.507094
par_block/24,384,2.075155
par_block/48,384,1.137821
par_block/96,384,1.312347
par_block_slice/2,384,21.039771
par_block_slice/6,384,7.344963
par_block_slice/12,384,3.952544
par_block_slice/24,384,2.034048
par_block_slice/48,384,1.169291
par_block_slice/96,384,1.400318
par_block_slice_modaccess/2,384,20.197904
par_block_slice_modaccess/6,384,7.151221
par_block_slice_modaccess/12,384,3.653705
par_block_slice_modaccess/24,384,1.981406
par_block_slice_modaccess/48,384,1.12594
par_block_slice_modaccess/96,384,1.130356
seq/1,768,176.319574
seq_modaccess/1,768,164.504481
par_block/2,768,153.527141
par_block/6,768,53.164832
par_block/12,768,26.713778
par_block/24,768,13.667784
par_block/48,768,8.197594
par_block/96,768,4.747233
par_block_slice/2,768,166.75101
par_block_slice/6,768,57.555529
par_block_slice/12,768,30.158214
par_block_slice/24,768,15.479005
par_block_slice/48,768,7.813125
par_block_slice/96,768,4.965587
par_block_slice_modaccess/2,768,160.47399
par_block_slice_modaccess/6,768,55.316887
par_block_slice_modaccess/12,768,28.242839
par_block_slice_modaccess/24,768,14.198893
par_block_slice_modaccess/48,768,7.864093
par_block_slice_modaccess/96,768,4.506593
seq/1,192,2.917697
seq_modaccess/1,192,2.676388
par_block/2,192,2.427111
par_block/6,192,0.891704
par_block/12,192,0.537128
par_block/24,192,0.449169
par_block/48,192,0.385056
par_block/96,192,0.743109
par_block_slice/2,192,2.730444
par_block_slice/6,192,0.99398
par_block_slice/12,192,0.617542
par_block_slice/24,192,0.404275
par_block_slice/48,192,0.358836
par_block_slice/96,192,0.29333
par_block_slice_modaccess/2,192,2.505304
par_block_slice_modaccess/6,192,0.960638
par_block_slice_modaccess/12,192,0.544225
par_block_slice_modaccess/24,192,0.396901
par_block_slice_modaccess/48,192,0.34121
par_block_slice_modaccess/96,192,0.300972
seq/1,384,22.121484
seq_modaccess/1,384,20.865368
par_block/2,384,19.328606
par_block/6,384,6.64832
par_block/12,384,3.493445
par_block/24,384,1.930759
par_block/48,384,1.15779
par_block/96,384,1.28536
par_block_slice/2,384,20.656791
par_block_slice/6,384,7.341002
par_block_slice/12,384,3.834019
par_block_slice/24,384,2.070714
par_block_slice/48,384,1.377178
par_block_slice/96,384,1.2783
par_block_slice_modaccess/2,384,19.944389
par_block_slice_modaccess/6,384,7.025222
par_block_slice_modaccess/12,384,3.664249
par_block_slice_modaccess/24,384,1.957173
par_block_slice_modaccess/48,384,1.136733
par_block_slice_modaccess/96,384,1.148329
seq/1,768,176.054431
seq_modaccess/1,768,164.163208
par_block/2,768,153.003342
par_block/6,768,52.732912
par_block/12,768,27.183227
par_block/24,768,13.848991
par_block/48,768,7.646215
par_block/96,768,4.6219
par_block_slice/2,768,165.744058
par_block_slice/6,768,58.033093
par_block_slice/12,768,29.267819
par_block_slice/24,768,15.142229
par_block_slice/48,768,7.943263
par_block_slice/96,768,4.665788
par_block_slice_modaccess/2,768,159.382834
par_block_slice_modaccess/6,768,55.309357
par_block_slice_modaccess/12,768,28.16467
par_block_slice_modaccess/24,768,14.172725
par_block_slice_modaccess/48,768,8.327719
par_block_slice_modaccess/96,768,5.369304
par_block_slice_modaccess_avoid_svect/2,192,2.506309000
par_block_slice_modaccess_avoid_svect/6,192,0.956465000
par_block_slice_modaccess_avoid_svect/12,192,0.568028000
par_block_slice_modaccess_avoid_svect/24,192,0.393983000
par_block_slice_modaccess_avoid_svect/48,192,0.319677000
par_block_slice_modaccess_avoid_svect/96,192,0.298123000
par_block_slice_modaccess_avoid_svect/2,384,20.209926000
par_block_slice_modaccess_avoid_svect/6,384,7.014537000
par_block_slice_modaccess_avoid_svect/12,384,3.647934000
par_block_slice_modaccess_avoid_svect/24,384,2.157376000
par_block_slice_modaccess_avoid_svect/48,384,1.172244000
par_block_slice_modaccess_avoid_svect/96,384,1.144920000
par_block_slice_modaccess_avoid_svect/2,768,159.841550000
par_block_slice_modaccess_avoid_svect/6,768,56.093453000
par_block_slice_modaccess_avoid_svect/12,768,28.341332000
par_block_slice_modaccess_avoid_svect/24,768,14.207863000
par_block_slice_modaccess_avoid_svect/48,768,7.456507000
par_block_slice_modaccess_avoid_svect/96,768,4.689575000
par_block_slice_modaccess_avoid_svect/2,192,2.540240000
par_block_slice_modaccess_avoid_svect/6,192,0.951630000
par_block_slice_modaccess_avoid_svect/12,192,0.616794000
par_block_slice_modaccess_avoid_svect/24,192,0.405704000
par_block_slice_modaccess_avoid_svect/48,192,0.345749000
par_block_slice_modaccess_avoid_svect/96,192,0.295984000
par_block_slice_modaccess_avoid_svect/2,384,20.009930000
par_block_slice_modaccess_avoid_svect/6,384,7.023286000
par_block_slice_modaccess_avoid_svect/12,384,3.654640000
par_block_slice_modaccess_avoid_svect/24,384,1.964379000
par_block_slice_modaccess_avoid_svect/48,384,1.130276000
par_block_slice_modaccess_avoid_svect/96,384,1.369887000
par_block_slice_modaccess_avoid_svect/2,768,159.632320000
par_block_slice_modaccess_avoid_svect/6,768,55.307417000
par_block_slice_modaccess_avoid_svect/12,768,28.158693000
par_block_slice_modaccess_avoid_svect/24,768,14.143437000
par_block_slice_modaccess_avoid_svect/48,768,7.430326000
par_block_slice_modaccess_avoid_svect/96,768,4.580560000
par_block_slice_modaccess_avoid_svect/2,192,2.595354000
par_block_slice_modaccess_avoid_svect/6,192,0.952211000
par_block_slice_modaccess_avoid_svect/12,192,0.546886000
par_block_slice_modaccess_avoid_svect/24,192,0.387535000
par_block_slice_modaccess_avoid_svect/48,192,0.329936000
par_block_slice_modaccess_avoid_svect/96,192,0.579222000
par_block_slice_modaccess_avoid_svect/2,384,20.047762000
par_block_slice_modaccess_avoid_svect/6,384,7.023353000
par_block_slice_modaccess_avoid_svect/12,384,3.666945000
par_block_slice_modaccess_avoid_svect/24,384,1.976797000
par_block_slice_modaccess_avoid_svect/48,384,1.185378000
par_block_slice_modaccess_avoid_svect/96,384,1.162925000
par_block_slice_modaccess_avoid_svect/2,768,159.040564000
par_block_slice_modaccess_avoid_svect/6,768,55.749291000
par_block_slice_modaccess_avoid_svect/12,768,28.148128000
par_block_slice_modaccess_avoid_svect/24,768,14.564376000
par_block_slice_modaccess_avoid_svect/48,768,7.522304000
par_block_slice_modaccess_avoid_svect/96,768,5.002565000
