Impl/Ranks,Problem Size,Repetitions,Time_mean,Time_std,Speedup,Efficiency
seq/1,192,3,2.84,0.08,1.0,1.0
seq/1,384,3,22.23,0.17,1.0,1.0
seq/1,768,3,176.17,0.13,1.0,1.0
seq_modaccess/1,192,3,2.62,0.05,1.08,1.08
seq_modaccess/1,384,3,20.69,0.18,1.07,1.07
seq_modaccess/1,768,3,164.38,0.19,1.07,1.07
par_block/2,192,3,2.41,0.01,1.18,0.59
par_block/2,384,3,19.26,0.08,1.15,0.58
par_block/2,768,3,153.31,0.27,1.15,0.57
par_block/6,192,3,0.9,0.01,3.17,0.53
par_block/6,384,3,6.64,0.0,3.35,0.56
par_block/6,768,3,52.88,0.25,3.33,0.56
par_block/12,192,3,0.53,0.01,5.32,0.44
par_block/12,384,3,3.49,0.01,6.36,0.53
par_block/12,768,3,27.25,0.56,6.47,0.54
par_block/24,192,3,0.44,0.01,6.5,0.27
par_block/24,384,3,1.99,0.08,11.19,0.47
par_block/24,768,3,13.8,0.12,12.76,0.53
par_block/48,192,3,0.38,0.0,7.46,0.16
par_block/48,384,3,1.16,0.02,19.2,0.4
par_block/48,768,3,7.82,0.33,22.54,0.47
par_block/96,192,3,0.61,0.23,4.64,0.05
par_block/96,384,3,1.31,0.02,17.0,0.18
par_block/96,768,3,4.79,0.19,36.79,0.38
par_block_slice/2,192,3,2.67,0.05,1.06,0.53
par_block_slice/2,384,3,20.89,0.21,1.06,0.53
par_block_slice/2,768,3,166.09,0.57,1.06,0.53
par_block_slice/6,192,3,1.0,0.01,2.84,0.47
par_block_slice/6,384,3,7.34,0.0,3.03,0.5
par_block_slice/6,768,3,57.83,0.25,3.05,0.51
par_block_slice/12,192,3,0.64,0.06,4.44,0.37
par_block_slice/12,384,3,3.87,0.08,5.75,0.48
par_block_slice/12,768,3,29.58,0.5,5.96,0.5
par_block_slice/24,192,3,0.41,0.01,6.98,0.29
par_block_slice/24,384,3,2.05,0.02,10.85,0.45
par_block_slice/24,768,3,15.68,0.66,11.24,0.47
par_block_slice/48,192,3,0.35,0.01,8.18,0.17
par_block_slice/48,384,3,1.24,0.12,17.88,0.37
par_block_slice/48,768,3,8.13,0.44,21.67,0.45
par_block_slice/96,192,3,0.29,0.0,9.73,0.1
par_block_slice/96,384,3,1.29,0.11,17.24,0.18
par_block_slice/96,768,3,5.02,0.38,35.12,0.37
par_block_slice_modaccess/2,192,3,2.52,0.02,1.13,0.56
par_block_slice_modaccess/2,384,3,20.05,0.13,1.11,0.55
par_block_slice_modaccess/2,768,3,159.75,0.62,1.1,0.55
par_block_slice_modaccess/6,192,3,0.96,0.0,2.97,0.49
par_block_slice_modaccess/6,384,3,7.07,0.07,3.14,0.52
par_block_slice_modaccess/6,768,3,55.3,0.02,3.19,0.53
par_block_slice_modaccess/12,192,3,0.55,0.02,5.12,0.43
par_block_slice_modaccess/12,384,3,3.66,0.01,6.07,0.51
par_block_slice_modaccess/12,768,3,28.46,0.45,6.19,0.52
par_block_slice_modaccess/24,192,3,0.41,0.03,6.92,0.29
par_block_slice_modaccess/24,384,3,1.97,0.01,11.3,0.47
par_block_slice_modaccess/24,768,3,14.2,0.03,12.4,0.52
par_block_slice_modaccess/48,192,3,0.33,0.01,8.5,0.18
par_block_slice_modaccess/48,384,3,1.23,0.18,18.02,0.38
par_block_slice_modaccess/48,768,3,7.9,0.41,22.31,0.46
par_block_slice_modaccess/96,192,3,0.29,0.01,9.63,0.1
par_block_slice_modaccess/96,384,3,1.15,0.03,19.26,0.2
par_block_slice_modaccess/96,768,3,4.85,0.46,36.31,0.38
par_block_slice_modaccess_avoid_svect/2,192,3,2.55,0.04,1.11,0.56
par_block_slice_modaccess_avoid_svect/2,384,3,20.09,0.11,1.11,0.55
par_block_slice_modaccess_avoid_svect/2,768,3,159.5,0.42,1.1,0.55
par_block_slice_modaccess_avoid_svect/6,192,3,0.95,0.0,2.98,0.5
par_block_slice_modaccess_avoid_svect/6,384,3,7.02,0.01,3.17,0.53
par_block_slice_modaccess_avoid_svect/6,768,3,55.72,0.39,3.16,0.53
par_block_slice_modaccess_avoid_svect/12,192,3,0.58,0.04,4.92,0.41
par_block_slice_modaccess_avoid_svect/12,384,3,3.66,0.01,6.08,0.51
par_block_slice_modaccess_avoid_svect/12,768,3,28.22,0.11,6.24,0.52
par_block_slice_modaccess_avoid_svect/24,192,3,0.4,0.01,7.17,0.3
par_block_slice_modaccess_avoid_svect/24,384,3,2.03,0.11,10.93,0.46
par_block_slice_modaccess_avoid_svect/24,768,3,14.31,0.23,12.32,0.51
par_block_slice_modaccess_avoid_svect/48,192,3,0.33,0.01,8.56,0.18
par_block_slice_modaccess_avoid_svect/48,384,3,1.16,0.03,19.12,0.4
par_block_slice_modaccess_avoid_svect/48,768,3,7.47,0.05,23.58,0.49
par_block_slice_modaccess_avoid_svect/96,192,3,0.39,0.16,7.26,0.08
par_block_slice_modaccess_avoid_svect/96,384,3,1.23,0.13,18.13,0.19
par_block_slice_modaccess_avoid_svect/96,768,3,4.76,0.22,37.03,0.39
